Number,How old are you?,Gender,Which country are you living in?,Do you regard yourself as an engineer?,What is your study/working field?,What is your current employment status?,What industry are you working in?,What university do you study at?,How many days per week did you do remote working *BEFORE* COVID-19 on average?,How many days per week did you do remote working *AFTER* COVID-19 on average?,"What is the biggest *advantage* of Remote Working for you? 

Choose one:","What is the biggest *disadvantage* of Remote Working for you? 

Choose one:","*Rank the importance of the following working conditions/offers for you.*

Select your number 1 choice_ (1/3):_",Your number 2 choice _(2/3)_:,"Finally, your number 3 choice _(3/3)_:","Where do you feel more productive (home, office or a hybrid version) ?
",Submitted At,Token
1,58,Female,Bulgaria,TRUE,Chemical Engineering,Employed,Dd,,4,3,Positive environmental impact,No separation between work and home life,Impact,Working Environment,Reputation,Both,9/8/20 20:04,78k96kjbml49k02y0578k3rd5r05apne
2,24,Female,Germany,TRUE,Chemical Engineering,Student,,TUM,0,5,Flexible working hours,No separation between work and home life,Working Environment,Impact,Flexible working time models,Office,9/9/20 7:35,qetkrmy3knd3awmnq3lqetkrmmvkutdh
3,35,Male,Belgium,TRUE,Electrical Engineering,Employed,Government administration,,0,4,Flexible working hours,Lack of human interaction,Working Environment,Impact,Amount of salary,Both,9/9/20 7:36,7ifsnyk7jlmmme0784t2i7ifsnyeyvhd
4,25,Male,Germany,TRUE,Mechanical Engineering,Self-employed,,,1,3,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Reputation,Both,9/9/20 7:43,vykka4gcua0h9ba5wtdvykkaz1hvltw7
5,25,Female,Ireland,TRUE,Electrical Engineering,Employed,Power sector,,1,3,Flexible working hours,Lack of human interaction,Flexible working time models,Working Environment,Amount of salary,Both,9/9/20 7:43,ctqu9dyje9cltxtctqu9jbrhzs9jdcpg
6,27,Male,Spain,TRUE,Civil Engineering,Employed,Infrastructure and urban Planning,,0,5,Flexible working hours,Lack of human interaction,Impact,Amount of salary,Working Environment,Both,9/9/20 7:45,35q9lbd544sr6iy35q9c756h3tpog4fg
7,27,Male,Germany,TRUE,Industrial Engineering,Employed,Research,,0,2,Comfortable working environment,Lack of human interaction,Flexible working time models,Possibility of remote working,Working Environment,Both,9/9/20 8:13,3p7uj92dbgvbogrczd3p7uj95kvkszks
8,21,Female,Romania,TRUE,Computer Science,Employed,Computer Software,,1,1,Flexible working hours,No separation between work and home life,Impact,Flexible working time models,Amount of salary,Both,9/9/20 8:17,hm9k5dfcrch2u2it8x7neehm9k5x0qop
9,39,Male,Ireland,TRUE,Energy Engineering,Employed,Carbon capture and storage,,0,5,Less money and time spent on traveling,No separation between work and home life,Reputation,Amount of salary,Working Environment,Both,9/9/20 8:29,5arjyc50j8mlsaraj5arjyecdrw3x2lk
10,30,Male,Germany,FALSE,,Employed,Foundry,,0,0,Non,No separation between work and home life,Impact,Working Environment,Impact,Office,9/9/20 8:50,j096gsys8lbz5fxtj096qgza07xg4ldt
11,21,Male,Romania,TRUE,Other,Student,,Technical Univerity Cluj-Napoca,N/A,N/A,Flexible working hours,No separation between work and home life,Flexible working time models,Working Environment,Amount of salary,Both,9/9/20 8:51,f183j19evqenw866xf183jd191ibzh64
12,22,Female,Germany,FALSE,,Student,,Technical University Munich,7,7,Comfortable working environment,No separation between work and home life,Working Environment,Working Environment,Possibility of remote working,Both,9/9/20 8:57,5lk6qkicls17ovoignl4q5lk6qkigsys
13,24,Female,Germany,FALSE,,Student,,TU Berlin,1,6,Positive environmental impact,No separation between work and home life,Impact,Working Environment,Amount of salary,Both,9/9/20 9:41,e7ilsa1qclcmpljpsdxe7ilsauwd4iy2
14,23,Female,Germany,TRUE,Industrial Engineering,Employed,Automotive,,0,4,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Both,9/9/20 9:58,j8btptg1fbygkj8btvgnpgpsdkh7ebkg
15,21,Male,Romania,TRUE,Mechanical Engineering,Student,,Lucian Blaga University of Sibiu,0,0,Flexible working hours,Lack of human interaction,Flexible working time models,Working Environment,Amount of salary,Home,9/9/20 10:25,r9b7y9q1fh4k8j1j0sntr9b7y9htg05h
16,24,Female,Germany,FALSE,,Employed,Automotive,,1,5,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Working Environment,"Additional services (Kindergarten, dogs at work)",Both,9/9/20 10:12,ye7o1vjsenm8l29e5ye7o18rngpwaf0k
